"ID","Corso","Categoria","Sottocategoria","Tipo","Testo","A","B","C","D","Corretta","Punti","Flags","Placeholder"
"q_xaji0y","bioinf","Algoritmi","Proprietà","mc","L'effettività è una proprietà fondamentale degli algoritmi. Quale delle seguenti situazioni rappresenta una sua violazione?","Un programma che non termina su input molto grandi","Lo stesso algoritmo produce risultati diversi eseguito due volte sugli stessi dati","Un'istruzione che richiede un sottoalgoritmo per essere eseguita","Un algoritmo che richiede più dati di quelli forniti in ingresso","C","1","",""
"q_6dpbhs","bioinf","Algoritmi","Strutture di controllo","mc","Secondo il teorema di Böhm-Jacopini, qualsiasi algoritmo può essere espresso usando esclusivamente tre strutture fondamentali. Quali sono?","Lettura, scrittura e confronto","Sequenziale, condizionale e iterativa","Ricorsiva, iterativa e parallela","Assegnamento, selezione e funzione","B","1","",""
"q_ahxthv","bioinf","BLAST","Parametri","mc","In BLAST, se il parametro W (lunghezza del seed) viene aumentato da 3 a 5, qual è l'effetto atteso?","La ricerca diventa più lenta ma più sensibile, perché vengono confrontati più k-mers per ogni posizione","La ricerca diventa più veloce ma meno sensibile alle sequenze molto divergenti, perché seeds più lunghi trovano meno corrispondenze iniziali","L'E-value di ogni hit diminuisce proporzionalmente, perché il database effettivo di confronto si riduce","Il numero di falsi positivi aumenta, perché seeds più lunghi generano più estensioni da valutare","B","1","",""
"q_3a3zmf","bioinf","Sequenziamento","Short reads","mc","Qual è il limite fondamentale dei reads corti (short reads) nell'assemblaggio de novo di un genoma?","Hanno un tasso di errore sistematico che cresce con la lunghezza del read, rendendo necessaria la correzione prima dell'assemblaggio","Non possono attraversare regioni ripetute più lunghe del read stesso, rendendo impossibile stabilire come tali regioni si colleghino al resto del genoma","Producono un numero di errori di base proporzionale alla lunghezza del genoma, rendendo necessaria la validazione sperimentale dell'assemblato","Sono prodotti in quantità insufficiente per coprire genomi eucariotici in modo uniforme","B","2","",""
"q_8mdd4v","bioinf","Allineamento","MSA","mc","Nell'allineamento multiplo di sequenze (MSA), cosa si intende per ""posizione conservata"" e quale informazione biologica fornisce?","Una posizione in cui tutte le sequenze hanno lo stesso residuo; indica un sito funzionalmente o strutturalmente vincolato dalla selezione purificante","Una posizione con gap in almeno una sequenza; indica un'inserzione recente avvenuta in uno specifico lineaggio evolutivo","Una posizione con alta variabilità tra le sequenze; indica un sito sottoposto a selezione positiva in tutte le specie analizzate","Una posizione presente solo nelle sequenze omologhe più vicine; indica un caso di evoluzione convergente indipendente","A","2","",""
"q_30t9nt","bioinf","Filogenesi","UPGMA vs NJ","mc","Qual è il presupposto dell'algoritmo UPGMA che ne limita l'applicabilità rispetto a Neighbor-Joining?","UPGMA richiede che tutte le sequenze abbiano la stessa lunghezza, mentre NJ gestisce sequenze di lunghezze diverse","UPGMA assume che tutte le sequenze evolvano a velocità costante (orologio molecolare), un'ipotesi spesso non verificata nei dati reali","UPGMA esplora tutti gli alberi possibili per trovare quello ottimale, rendendo il calcolo proibitivo per molte sequenze","UPGMA utilizza una matrice Q rielaborata che penalizza i rami lunghi, introducendo un bias sistematico verso alberi non ultrametrici","B","2","",""
"q_3w5uzb","bioinf","Sequenziamento","Coverage","mc","Nel sequenziamento NGS, cosa si intende per ""coverage"" (o profondità di copertura) e quale impatto ha sulla chiamata delle varianti?","Il numero totale di reads prodotti dal sequenziatore; non influisce sulla qualità della chiamata ma solo sulla velocità di analisi","Il numero medio di reads che coprono ciascuna base del genoma; una coverage più alta aumenta la confidenza nella chiamata delle varianti, specialmente per le varianti a bassa frequenza allelica","La percentuale del genoma coperta da almeno un read; determina solo la completezza dell'assemblaggio, non la qualità della genotipizzazione","La lunghezza media dei reads generati; reads più lunghi aumentano la coverage totale indipendentemente dal numero di reads prodotti","B","1","",""
"q_ikcidk","bioinf","Sequenziamento","WGS vs WES","mc","Qual è la principale differenza tra Whole Genome Sequencing (WGS) e Whole Exome Sequencing (WES) nell'identificazione di varianti patogene?","WGS sequenzia solo i geni codificanti, mentre WES sequenzia l'intero genoma incluse le regioni non codificanti","WES è più economico e sufficiente per varianti codificanti, ma manca varianti introniche, regolatorie e strutturali rilevabili solo con WGS","WGS produce reads più corti rispetto a WES, rendendolo meno preciso per la chiamata puntuale degli SNV","WES è preferibile per la diagnosi delle malattie mendeliane, mentre WGS è lo standard per i tumori","B","1","",""
"q_wnnhj7","bioinf","Varianti","Classificazione","mc","Quale delle seguenti affermazioni descrive correttamente la differenza tra SNV, indel e variante strutturale (SV)?","SNV è una sostituzione di singola base; indel è un'inserzione o delezione di 1–50 bp; SV è un riarrangiamento genomico ≥50 bp (CNV, inversione, traslocazione)","SNV è una sostituzione di singola base; indel è sinonimo di SV e indica qualsiasi riarrangiamento superiore a 1 bp, indipendentemente dalla dimensione","SNV riguarda sostituzioni fino a 10 bp; indel indica varianti tra 10 e 100 bp; SV indica riarrangiamenti superiori a 100 bp rilevabili solo con long reads","SNV e indel si distinguono per frequenza allelica, non per dimensione; SV indica invece qualsiasi variante che altera il numero di copie di un gene","A","1","",""
"q_xvg0fn","bioinf","Database","gnomAD","mc","Nel database gnomAD, un gene ha pLI = 0.99. Qual è l'interpretazione corretta?","Il 99% delle varianti osservate nel gene sono state classificate come patogeniche nei database clinici","Il gene è sotto forte pressione selettiva contro varianti che ne eliminano la funzione, essendo quasi completamente privo di tali varianti nella popolazione sana","La frequenza allelica media delle varianti nel gene è del 99% nella popolazione generale analizzata","Il 99% degli individui nel database porta almeno una variante missenso nel gene, suggerendo alta tolleranza alla variazione","B","1","",""
"q_9xuy41","bioinf","RNA-seq","Normalizzazione","mc","In RNA-seq, qual è il vantaggio della normalizzazione TPM rispetto a RPKM?","È computazionalmente più efficiente, richiedendo un solo passaggio sui dati invece di due normalizzazioni successive","Rende i valori direttamente confrontabili tra campioni diversi, poiché la somma dei TPM è costante per campione indipendentemente dalla profondità di sequenziamento","Non richiede la stima della lunghezza del trascritto, eliminando così una fonte di incertezza sistematica","Elimina completamente l'effetto della coverage, rendendo superflua la normalizzazione per la profondità di lettura","B","1","",""
"q_ibljh7","bioinf","Database","gnomAD","mc","Una variante identificata in un paziente con una malattia dominante rara (prevalenza 1/50.000) ha una frequenza allelica del 4% in gnomAD. Quale conclusione è più ragionevole?","La variante è probabilmente causativa, perché la sua presenza in pazienti affetti supera quella nei controlli sani","La variante è quasi certamente benigna, perché la sua frequenza nella popolazione sana è incompatibile con una malattia rara ad alta penetranza","La variante è di significato incerto, perché la frequenza in gnomAD non è direttamente confrontabile con la prevalenza della malattia","La variante è patogenica con penetranza ridotta, perché è presente sia in pazienti che in individui apparentemente sani","B","1","",""
"q_5lxo6q","bioinf","Varianti","ACMG/AMP","mc","Il framework ACMG/AMP è stato sviluppato principalmente per:","Calcolare automaticamente la patogenicità di qualsiasi variante tramite un algoritmo deterministico basato su dati genomici","Standardizzare il linguaggio e i criteri di classificazione delle varianti tra laboratori di genetica clinica","Sostituire la valutazione clinica con un sistema di punteggio quantitativo basato esclusivamente su dati di popolazione","Classificare le varianti somatiche nei tumori secondo criteri di rilevanza terapeutica e prognostica","B","1","",""
"q_jiujv6","bioinf","Allineamento","Locale vs globale","mc","L'output BLAST mostra che la proteina VHL umana (213 aa) e l'omologo di <em>Danio rerio</em> (213 aa) hanno il 70% di identità sull'intera lunghezza, con 1 gap. BLAST utilizza un algoritmo di allineamento locale. Quale sarebbe la differenza se si applicasse invece un allineamento globale (Needleman-Wunsch) alle stesse due sequenze?","L'allineamento globale produrrebbe uno score sempre più alto, perché somma i contributi di ogni posizione lungo l'intera lunghezza delle sequenze","L'allineamento globale includerebbe obbligatoriamente le estremità di entrambe le sequenze, producendo potenzialmente uno score inferiore se le regioni terminali sono poco conservate","L'allineamento globale richiederebbe di penalizzare tutti i gap interni, rendendo impossibile il confronto quando una delle due sequenze è più corta dell'altra","L'allineamento globale e locale producono risultati identici quando le sequenze hanno la stessa lunghezza e non ci sono gap alle estremità","B","2","context",""
